1;1;2005
2;2;2005
3;3;2005
4;4;2005
5;5;2005
6;6;2005
7;7;2005
8;8;2005
9;9;2005
10;10;2005
11;11;2005
12;12;2005
13;1;2006
14;2;2006
15;3;2006
16;4;2006
17;5;2006
18;6;2006
19;7;2006
20;8;2006
21;9;2006
22;10;2006
23;11;2006
24;12;2006
25;1;2007
26;2;2007
27;3;2007
28;4;2007
29;5;2007
30;6;2007
31;7;2007
32;8;2007
33;9;2007
34;10;2007
35;11;2007
36;12;2007
37;1;2008
38;2;2008
39;3;2008
40;4;2008
41;5;2008
42;6;2008
43;7;2008
44;8;2008
45;9;2008
46;10;2008
47;11;2008
48;12;2008
49;1;2009
50;2;2009
51;3;2009
52;4;2009
53;5;2009
54;6;2009
55;7;2009
56;8;2009
57;9;2009
58;10;2009
59;11;2009
60;12;2009
61;1;2010
62;2;2010
63;3;2010
64;4;2010
65;5;2010
66;6;2010
67;7;2010
68;8;2010
69;9;2010
70;10;2010
71;11;2010
72;12;2010
73;1;2011
74;2;2011
75;3;2011
76;4;2011
77;5;2011
78;6;2011
79;7;2011
80;8;2011
81;9;2011
82;10;2011
83;11;2011
84;12;2011
85;1;2012
86;2;2012
87;3;2012
88;4;2012
89;5;2012
90;6;2012
91;7;2012
92;8;2012
93;9;2012
94;10;2012
95;11;2012
96;12;2012
97;1;2013
98;2;2013
99;3;2013
100;4;2013
101;5;2013
102;6;2013
103;7;2013
104;8;2013
105;9;2013
106;10;2013
107;11;2013
108;12;2013
109;1;2014
110;2;2014
111;3;2014
112;4;2014
113;5;2014
114;6;2014
115;7;2014
116;8;2014
117;9;2014
118;10;2014
119;11;2014
120;12;2014
121;1;2015
122;2;2015
123;3;2015
124;4;2015
125;5;2015
126;6;2015
127;7;2015
128;8;2015
129;9;2015
130;10;2015
131;11;2015
132;12;2015
133;1;2016
134;2;2016
135;3;2016
136;4;2016
137;5;2016
138;6;2016
139;7;2016
140;8;2016
141;9;2016
142;10;2016
143;11;2016
144;12;2016
145;1;2017
146;2;2017
147;3;2017
148;4;2017
149;5;2017
150;6;2017
151;7;2017
152;8;2017
153;9;2017
154;10;2017
155;11;2017
156;12;2017
157;1;2018
158;2;2018
159;3;2018
160;4;2018
161;5;2018
162;6;2018
163;7;2018
164;8;2018
165;9;2018
166;10;2018
167;11;2018
168;12;2018
169;1;2019
170;2;2019
171;3;2019
172;4;2019
173;5;2019
174;6;2019
175;7;2019
176;8;2019
177;9;2019
178;10;2019
179;11;2019
180;12;2019
181;1;2020
182;2;2020
183;3;2020
184;4;2020
185;5;2020
186;6;2020
187;7;2020
188;8;2020
189;9;2020
190;10;2020
191;11;2020
192;12;2020
193;1;2021
194;2;2021
195;3;2021
196;4;2021
197;5;2021
198;6;2021
199;7;2021
200;8;2021
201;9;2021
202;10;2021
203;11;2021
204;12;2021
205;1;2022
206;2;2022
207;3;2022
208;4;2022
209;5;2022
210;6;2022
211;7;2022
212;8;2022
213;9;2022
214;10;2022
215;11;2022
216;12;2022
217;1;2023
218;2;2023
219;3;2023
